symbol,hgnc_id,entrez_id
ACTR6P1,44210,100421495
ACTR8,14672,93973
ACTR10,17372,55860
ACTRT1,24027,139741
ACTRT1P1,55127,100128268
ACTRT2,24026,140625
ACTRT3,24022,84517
ACVR1,171,90
ACVR1B,172,91
ACVR1C,18123,130399
ACVR2A,173,92
ACVR2B,174,93
ACVR2B-AS1,44161,100128640
ACVRL1,175,94
ACY1,177,95
ACY3,24104,91703
ACYP1,179,97
ACYP2,180,98
ADA,186,100
ADA2,1839,51816
ADAD1,30713,132612
ADAD1P1,44550,100422386
ADAD1P2,44552,100422407
ADAD2,30714,161931
ADAL,31853,161823
ADAM1A,187,8759
ADAM1B,44366,100420505
ADAM2,198,2515
ADAM3A,209,1587
ADAM3B,210,1596
ADAM5,212,255926
ADAM6,213,8755
ADAM7,214,8756
ADAM8,215,101
ADAM9,216,8754
ADAM10,188,102
ADAM11,189,4185
ADAM12,190,8038
ADAM15,193,8751
ADAM17,195,6868
ADAM18,196,8749
ADAM19,197,8728
ADAM20,199,8748
ADAM20P1,20102,317760
ADAM20P2,43901,100533671
ADAM20P3,43902,644325
ADAM21,200,8747
ADAM21P1,19822,145241
ADAM22,201,53616
ADAM23,202,8745
ADAM24P,203,646479
ADAM28,206,10863
ADAM29,207,11086
ADAM30,208,11085
ADAM32,15479,203102
ADAM33,15478,80332
ADAMDEC1,16299,27299
ADAMTS1,217,9510
ADAMTS2,218,9509
ADAMTS3,219,9508
ADAMTS4,220,9507
ADAMTS5,221,11096
ADAMTS6,222,11174
ADAMTS7,223,11173
ADAMTS7P1,49407,390660
ADAMTS7P3,49409,400406
ADAMTS7P4,49410,642935
ADAMTS8,224,11095
ADAMTS9,13202,56999
ADAMTS9-AS1,40625,101929335
ADAMTS9-AS2,42435,100507098
ADAMTS10,13201,81794
ADAMTS12,14605,81792
ADAMTS13,1366,11093
ADAMTS14,14899,140766
ADAMTS15,16305,170689
ADAMTS16,17108,170690
ADAMTS16-DT,55548,101929176
ADAMTS17,17109,170691
ADAMTS18,17110,170692
ADAMTS19,17111,171019
ADAMTS19-AS1,40797,103689846
ADAMTS20,17178,80070
ADAMTSL1,14632,92949
ADAMTSL2,14631,9719
ADAMTSL3,14633,57188
ADAMTSL4,19706,54507
ADAMTSL4-AS1,32041,574406
ADAMTSL4-AS2,40895,100289061
ADAMTSL5,27912,339366
ADAP1,16486,11033
ADAP2,16487,55803
ADAR,225,103
ADARB1,226,104
ADARB2,227,105
ADARB2-AS1,23299,642394
ADAT1,228,23536
ADAT2,21172,134637
ADAT3,25151,113179
ADCK1,19038,57143
ADCK2,19039,90956
ADCK5,21738,203054
ADCP1,229,106
ADCY1,232,107
ADCY2,233,108
ADCY3,234,109
ADCY4,235,196883
ADCY5,236,111
ADCY6,237,112
ADCY6-DT,53332,100506125
ADCY7,238,113
ADCY8,239,114
ADCY9,240,115
ADCY10,21285,55811
ADCY10P1,44143,221442
ADCYAP1,241,116
ADCYAP1R1,242,117
ADD1,243,118
ADD2,244,119
ADD3,245,120
ADD3-AS1,48682,100505933
ADGB,21212,79747
ADGB-DT,55654,101928661
ADGRA1,13838,84435
ADGRA1-AS1,49543,100128127
ADGRA2,17849,25960
ADGRA3,13839,166647
ADGRA3P1,55918,100996333
ADGRB1,943,575
ADGRB2,944,576
ADGRB3,945,577
ADGRB3-DT,55774,101928307
ADGRD1,19893,283383
ADGRD1-AS1,53314,105755954
ADGRD2,18651,347088
ADGRE1,3336,2015
ADGRE2,3337,30817
ADGRE3,23647,84658
ADGRE4P,19240,326342
ADGRE5,1711,976
ADGRF1,18990,266977
ADGRF2,18991,222611
ADGRF3,18989,165082
ADGRF4,19011,221393
ADGRF5,19030,221395
ADGRF5-AS1,40864,101926962
ADGRF5P1,32922,389740
ADGRF5P2,32921,441416
ADGRG1,4512,9289
ADGRG2,4516,10149
ADGRG3,13728,222487
ADGRG4,18992,139378
ADGRG5,19010,221188
ADGRG6,13841,57211
ADGRG7,19241,84873
ADGRL1,20973,22859
ADGRL1-AS1,55309,100507373
ADGRL2,18582,23266
ADGRL3,20974,23284
ADGRL3-AS1,50604,101927186
ADGRL4,20822,64123
ADGRV1,17416,84059
ADH1A,249,124
ADH1B,250,125
ADH1C,251,126
ADH4,252,127
ADH5,253,128
ADH5P2,22976,343296
ADH5P3,22991,100131810
ADH5P4,21377,642443
ADH5P5,54523,115945146
ADH6,255,130
ADH7,256,131
ADHFE1,16354,137872
ADI1,30576,55256
ADI1P1,52339,100130936
ADI1P2,52340,100288971
ADI1P3,52341,100288129
ADIG,28606,149685
ADIPOQ,13633,9370
ADIPOQ-AS1,40648,100874095
ADIPOR1,24040,51094
ADIPOR1P1,44910,645220
ADIPOR1P2,44911,390503
ADIPOR2,24041,79602
ADIRF,24043,10974
ADIRF-AS1,45127,100133190
ADK,257,132
ADM,259,133
ADM-DT,55516,105376544
ADM2,28898,79924
ADM5,27293,199800
ADNP,15766,23394
ADNP-AS1,51227,101927631
ADNP2,23803,22850
ADO,23506,84890
ADORA1,262,134
ADORA2A,263,135
ADORA2A-AS1,37122,646023
ADORA2B,264,136
ADORA2BP1,265,137
ADORA3,268,140
ADPGK,25250,83440
ADPGK-AS1,44144,100287559
ADPRH,269,141
ADPRHL1,21303,113622
ADPRM,30925,56985
ADPRS,21304,54936
ADRA1A,277,148
ADRA1B,278,147
ADRA1D,280,146
ADRA2A,281,150
ADRA2B,282,151
ADRA2C,283,152
ADRB1,285,153
ADRB2,286,154
ADRB3,288,155
ADRM1,15759,11047
ADSL,291,158
ADSS1,20093,122622
ADSS2,292,159
ADTRP,21214,84830
AEBP1,303,165
AEBP2,24051,121536
AEN,25722,64782
AFAP1,24017,60312
AFAP1-AS1,28141,84740
AFAP1L1,26714,134265
AFAP1L2,25901,84632
AFDN,7137,4301
AFDN-DT,21236,653483
AFF1,7135,4299
AFF1-AS1,53447,100506746
AFF2,3776,2334
AFF2-IT1,41334,100874269
AFF3,6473,3899
AFF4,17869,27125
AFF4-DT,55235,118597833
AFG1L,16411,246269
AFG3L1P,314,172
AFG3L2,315,10939
AFG3L2P1,24169,347028
AFM,316,173
AFMID,20910,125061
AFP,317,174
AFTPH,25951,54812
AFTPH-DT,52788,101927402
AGA,318,175
AGA-DT,27730,285500
AGAP1,16922,116987
AGAP1-IT1,41427,100506749
AGAP2,16921,116986
AGAP2-AS1,48633,100130776
AGAP3,16923,116988
AGAP4,23459,119016
AGAP5,23467,729092
AGAP6,23466,414189
AGAP7P,23465,653268
AGAP9,23463,642517
AGAP10P,23659,653234
AGAP11,29421,119385
AGAP12P,23661,414224
AGAP13P,23499,728005
AGAP14P,23660,653259
AGBL1,26504,123624
AGBL1-AS1,48617,727915
AGBL2,26296,79841
