MT_iCHOv1_final,MT_iHsa,MT_iMM1415,MT_iRno,MT_recon_1,MT_recon_2_2_entrez
100758236,132158,433923,192275,1595,7390
100764911,1327,11739,192280,159963,8876
100773154,132789,73744,192357,160287,8875
100752949,1329,17159,24157,1603,7498
100762640,133121,26879,24158,1606,9942
100761861,133686,54218,24159,1607,57379
100769027,1337,93961,24161,1607,267020
103159861,1339,108105,24162,160728,57834
100767475,1340,12012,24165,1608,50506
100763581,134429,110948,24172,160851,9446
100756251,1345,22348,24179,160851,50814
100763292,134526,170442,24183,1609,30814
100756975,135152,63857,24184,1610,81031
100751875,1352,71911,24186,1621,155184
100757832,1356,208211,24188,162417,81539
100766724,1357,64918,24189,162466,54407
100756142,1358,12116,24190,1629,54490
100755263,1359,109778,24191,1632,51382
100755554,1371,233016,24192,1633,10331
100759469,1373,55981,24197,1635,10396
100755850,137362,23827,24203,1638,57194
100771562,1374,26363,24211,1644,59272
100689023,1375,330064,24212,1645,759
100689024,1376,80721,24213,1650,8560
100773189,137872,103149,24214,166012,771
100689025,137902,110173,24215,166785,23632
100771580,137964,73166,24216,170712,9114
100760145,138050,11992,24217,171425,58508
100756146,1384,51798,24240,171425,760
100763203,138428,74147,24242,1716,10249
100756336,138429,18194,24244,1716,761
100760403,138639,15488,24248,1716.3,762
100757983,139189,66234,24250,1716.4,763
100762932,139596,11941,24254,1716.5,11238
100764091,139728,320707,24264,1717,765
100756633,140679,67972,24265,1718,766
100757714,140733,381290,24267,1719,57282
100765478,140838,27416,24268,1723,29988
100763232,141,239273,24269,1737,53630
100757463,142,12359,24294,1738,56548
100772065,142680,20541,24296,1743,57468
100773795,142689,110893,24297,175,53919
100774089,1429,110891,24298,1757,767
100771783,143,109136,24299,178,768
100774844,1431,14378,24303,178,64240
100774549,144193,68401,24307,178.3,64241
100772227,144195,14377,24309,178.4,60482
100771949,144245,227231,24310,178.5,480
100760390,145226,12408,24311,178.6,23430
100769849,1455,52858,24312,1786,64499
100772435,145553,74596,24314,1787,10919
100752607,146712,110911,24333,1787,9091
100756257,1468,99712,24334,1787.3,84264
100754196,146802,212862,24346,1787.4,64711
100755419,147323,223753,24360,1787.5,788
100768750,148867,68018,24362,1787.6,66035
100751666,1490,57738,24368,1788,790
100758600,1491,12642,24375,1788,55512
100751940,15,12647,24377,1788.3,10632
100752401,1503,237928,24379,1788.4,64850
100757688,150465,236899,24380,1789,60386
100766426,150763,13026,24382,1789,89874
100758427,151056,20494,24383,1789.3,64902
100772751,151230,20493,24384,1789.4,6785
100761676,151531,27413,24385,1798,54898
100767722,151742,76408,24390,1798,64834
100757328,153201,218865,24398,18,50700
100761937,1537,12660,24399,18,64849
100753937,154091,12651,24401,1806,115111
100772492,154141,63993,24404,1807,116369
100764768,1543,20518,24421,1808,115019
100764471,1544,20520,24422,1809,284129
100759241,1545,54200,24423,1811,65010
100765057,1548,11303,24424,1836,55586
100765441,1549,59045,24426,1841,57127
100762876,155066,81600,24434,1854,9583
100689020,1551,67729,24439,189,10455
103163344,155184,71884,24443,1890,85320
100752270,1553,69634,24450,1891,55089
100689019,1555,20500,24451,1892,83549
100761725,1557,237831,24465,19,80271
100774306,1558,13358,24479,191,25830
100754473,1559,76722,24513,192134,377677
100764916,156,1159,24523,195814,94005
100751220,1562,12709,24528,1962,51604
100754187,1565,12715,24530,196883,847
100750691,157,23985,24533,197257,29124
100764455,1571,171429,24534,197257,81490
100774867,1572,224661,24538,197258,8854
100772743,1573,208890,24539,200010,873
100760306,157506,13521,24546,200576,874
100770100,1576,13487,24551,200576,875
100766043,1577,320718,24552,200576.3,64131
100756252,1579,66586,24565,2023,64132
100762824,158,24060,24591,2026,10678
100751584,1580,12764,24594,2027,883
100751853,158067,73132,245958,2027,29785
100773278,1581,436059,245959,203,79369
100759356,1582,230027,245960,2030,84002
100754734,1583,217707,245961,204,11041
100767061,1584,12850,245965,204,93979
103163008,1585,272411,24598,204.3,56953
100770922,1586,72077,24599,205,128869
100772859,1588,14537,24600,205,55902
100770995,158833,12892,246074,205.3,26266
100770936,158835,6537,24609,206358,79071
100764429,1589,102857,246115,2098,80025
100767580,159,30805,246136,210,23236
100689317,1591,12908,24616,210,10005
100752385,1592,74114,24618,2108,54963
100755385,1593,12974,2462,2109,114134
100763147,1594,51797,246211,2109,89872
100766362,1595,55936,246232,211,10728
100765639,159963,22117,246233,211,57486
100754969,16,67003,246234,2110,51022
100770830,160287,66594,246235,212,84532
100765856,1603,66152,24624,2131,140838
100770803,160428,17711,246245,2132,54675
100767985,1606,22273,246246,2132,113278
100767598,1607,22272,246247,2134,84701
100769652,160728,67530,246248,2135,55304
100754874,1608,66694,246263,2137,80704
100760284,160851,100042918,246266,216,23539
100689334,1609,66445,24627,217,51733
100751585,1610,50934,246272,218,137872
100750701,161247,12583,246281,2180,55350
100689419,1615,107869,246302,2181,92086
100756696,1621,26570,246307,2181,80150
100758983,1622,12411,246311,2182,64078
100762108,162417,215113,24638,2182,23305
100766710,162466,11628,24640,2184,51703
100758914,1628,72269,24642,219,948
100751999,1629,80914,24644,2194,949
100761218,1632,22245,24645,220,952
100770000,1633,66588,24651,2203,57084
100760763,163404,57274,24653,221,57030
100760748,1635,320127,24654,221823,84693
100759378,1636,104418,24655,221823,9588
100763965,1638,13142,24661,222,23057
103160380,1644,69367,24668,2222,162466
100765580,1645,93692,24669,2224,9296
100770573,1650,70503,246766,222537,347734
100766299,165631,13177,246767,223,373156
103160379,166012,13178,24689,22305,84649
100762689,1666,320685,24693,22305,10870
